h,K
86.89604293,0.112201845
89.12509381,0.032359366
90.57326009,0.033113112
93.75620069,0.031622777
93.75620069,0.02630268
95.71940713,0.028840315
98.62794856,0.019952623
99.77000638,0.02630268
100.2305238,0.020892961
102.8016298,0.028840315
106.1695557,0.023988329
108.1433951,0.026915348
110.6623784,0.025118864
114.2878335,0.025703958
117.7605974,0.030199517
120.7813835,0.026915348
124.1652308,0.031622777
128.2330583,0.030902954
133.9676687,0.032359366
139.6368361,0.033113112
145.5459081,0.030902954
151.0080154,0.016982437
157.3982864,0.02630268
168.6553025,0.022908677
179.0605854,0.017782794
188.7991349,0.012589254
202.3019179,0.012302688
217.2701179,0.009772372
234.4228815,0.008709636
254.6830253,0.008317638
276.6941645,0.004786301
301.3006024,0.005011872
331.8944576,0.003890451
372.3917063,0.003715352
421.6965034,0.003162278
483.058802,0.002754229
553.3501092,0.002041738
638.2634862,0.002089296
739.6052751,0.002137962
857.0378452,0.001819701
995.4054174,0.002238721
1153.453258,0.001258925
