h,theta
2.95801247,0.1664
3.0060763,0.1663
3.04789499,0.1664
3.0974193,0.1664
3.16227766,0.1663
3.23593657,0.1663
3.29609712,0.1662
3.34965439,0.166
3.36511569,0.1659
3.37287309,0.1658
3.4040819,0.1656
3.34965439,0.1654
3.28095293,0.1652
3.38064836,0.165
3.50751874,0.1648
3.54813389,0.1645
3.56451133,0.1643
3.59749335,0.164
3.59749335,0.1637
3.74110588,0.1635
3.9994475,0.1632
4.11149721,0.163
4.17830367,0.1626
3.77572191,0.1623
3.30369541,0.1618
3.4040819,0.1614
3.48337315,0.1611
3.66437575,0.1606
4.00866718,0.1602
4.23642966,0.1596
4.61317575,0.1592
5.15228645,0.1589
5.29663444,0.1584
5.35796658,0.158
5.55904257,0.1575
5.50807696,0.1569
5.52077439,0.1563
5.64936975,0.1558
5.68852931,0.1554
5.87489353,0.1548
6.25172693,0.1542
7.1614341,0.1536
8.55066713,0.1529
10.1624869,0.1523
12.8528666,0.1516
19.8609492,0.1509
31.2607937,0.1502
42.854852,0.1494
51.5228645,0.1484
56.1047976,0.1476
58.7489353,0.1468
63.0957344,0.1457
66.6806769,0.1447
70.307232,0.1436
74.3019138,0.1423
77.2680585,0.1411
81.4704284,0.1396
86.8960429,0.138
89.1250938,0.1365
90.5732601,0.1351
93.7562007,0.1336
93.7562007,0.1323
95.7194071,0.1309
98.6279486,0.1296
99.7700064,0.1283
100.230524,0.1269
102.80163,0.1254
106.169556,0.124
108.143395,0.1226
110.662378,0.1212
114.287833,0.1198
117.760597,0.1184
120.781384,0.117
124.165231,0.1156
128.233058,0.114
133.967669,0.1123
139.636836,0.1106
145.545908,0.1087
151.008015,0.107
157.398286,0.1054
168.655303,0.1036
179.060585,0.102
188.799135,0.1004
202.301918,0.0988
217.270118,0.0971
234.422882,0.0955
254.683025,0.0937
276.694165,0.0922
301.300602,0.0909
331.894458,0.0896
372.391706,0.0882
421.696503,0.0868
483.058802,0.0854
553.350109,0.0841
638.263486,0.083
739.605275,0.0818
857.037845,0.0807
995.405417,0.0796
1153.45326,0.0786
5248.0746,0.0339
9332.54301,0.0276
14454.3977,0.0215
32359.3657,0.0147
72443.596,0.0101
100000,0.008
190546.072,0.0059
537031.796,0.0033
2344228.82,0
